Abbreviation,TeamName,Q1,Q2,Q3,Position,Race
NOR,McLaren,0 days 00:01:12.386000,0 days 00:01:11.872000,0 days 00:01:11.383000,1.0,Spanish Grand Prix
VER,Red Bull Racing,0 days 00:01:12.306000,0 days 00:01:11.653000,0 days 00:01:11.403000,2.0,Spanish Grand Prix
HAM,Mercedes,0 days 00:01:12.143000,0 days 00:01:11.792000,0 days 00:01:11.701000,3.0,Spanish Grand Prix
RUS,Mercedes,0 days 00:01:12.456000,0 days 00:01:11.812000,0 days 00:01:11.703000,4.0,Spanish Grand Prix
LEC,Ferrari,0 days 00:01:12.257000,0 days 00:01:12.038000,0 days 00:01:11.731000,5.0,Spanish Grand Prix
SAI,Ferrari,0 days 00:01:12.403000,0 days 00:01:11.874000,0 days 00:01:11.736000,6.0,Spanish Grand Prix
GAS,Alpine,0 days 00:01:12.651000,0 days 00:01:12.079000,0 days 00:01:11.857000,7.0,Spanish Grand Prix
PER,Red Bull Racing,0 days 00:01:12.477000,0 days 00:01:12.054000,0 days 00:01:12.061000,8.0,Spanish Grand Prix
OCO,Alpine,0 days 00:01:12.691000,0 days 00:01:12.109000,0 days 00:01:12.125000,9.0,Spanish Grand Prix
PIA,McLaren,0 days 00:01:12.460000,0 days 00:01:12.011000,,10.0,Spanish Grand Prix
ALO,Aston Martin,0 days 00:01:12.505000,0 days 00:01:12.128000,,11.0,Spanish Grand Prix
BOT,Kick Sauber,0 days 00:01:12.758000,0 days 00:01:12.227000,,12.0,Spanish Grand Prix
HUL,Haas F1 Team,0 days 00:01:12.708000,0 days 00:01:12.310000,,13.0,Spanish Grand Prix
STR,Aston Martin,0 days 00:01:12.881000,0 days 00:01:12.372000,,14.0,Spanish Grand Prix
ZHO,Kick Sauber,0 days 00:01:12.880000,0 days 00:01:12.738000,,15.0,Spanish Grand Prix
MAG,Haas F1 Team,0 days 00:01:12.937000,,,16.0,Spanish Grand Prix
TSU,RB,0 days 00:01:12.985000,,,17.0,Spanish Grand Prix
RIC,RB,0 days 00:01:13.075000,,,18.0,Spanish Grand Prix
ALB,Williams,0 days 00:01:13.153000,,,19.0,Spanish Grand Prix
SAR,Williams,0 days 00:01:13.509000,,,20.0,Spanish Grand Prix
VER,Red Bull Racing,0 days 00:01:05.336000,0 days 00:01:04.469000,0 days 00:01:04.314000,1.0,Austrian Grand Prix
NOR,McLaren,0 days 00:01:05.450000,0 days 00:01:05.103000,0 days 00:01:04.718000,2.0,Austrian Grand Prix
RUS,Mercedes,0 days 00:01:05.585000,0 days 00:01:05.016000,0 days 00:01:04.840000,3.0,Austrian Grand Prix
SAI,Ferrari,0 days 00:01:05.263000,0 days 00:01:05.016000,0 days 00:01:04.851000,4.0,Austrian Grand Prix
HAM,Mercedes,0 days 00:01:05.541000,0 days 00:01:05.053000,0 days 00:01:04.903000,5.0,Austrian Grand Prix
LEC,Ferrari,0 days 00:01:05.509000,0 days 00:01:05.104000,0 days 00:01:05.044000,6.0,Austrian Grand Prix
PIA,McLaren,0 days 00:01:05.311000,0 days 00:01:05.070000,0 days 00:01:05.048000,7.0,Austrian Grand Prix
PER,Red Bull Racing,0 days 00:01:05.587000,0 days 00:01:05.144000,0 days 00:01:05.202000,8.0,Austrian Grand Prix
HUL,Haas F1 Team,0 days 00:01:05.596000,0 days 00:01:05.262000,0 days 00:01:05.385000,9.0,Austrian Grand Prix
